nn_W;np_W;nominal_W;neoclass_W;poss_pronoun_W;pronoun_all_W;p1_perspron_P;p2_perspron_P;p3_perspron_P;it_P;pospers1_W;pospers2_W;pospers3_W;adj_W;atadj_W;predadj_W;prep_W;past_tense_F;will_F;modal_verb_V;verb_W;infinitive_F;passive_F;coordination_F;subordination_F;interrogative_S;imperative_S;title_W;salutation_S;place_adv_W;time_adv_W;prep_initial_S;adv_initial_S;text_initial_S;wh_initial_S;disc_initial_S;nonfin_initial_S;subord_initial_S;verb_initial_S
44.605.681;11.982.377;3.151.923;0.125000;5.187.637;45.277.383;50.533.333;87.750.000;22.033.333;;15.000.470;19.889.697;5.148.525;20.506.358;8.403.747;12.102.611;10.904.240;10.166.667;7.500.000;15.335.714;62.666.089;;6.000.000;;;5;18;0.000000;0;0.666667;4.034.512;6;68.000.000;12;16.000.000;42;6;23;16.000.000
71.865.444;9.856.421;6.282.251;0.638889;4.739.484;46.538.124;51.733.333;44.366.667;54.333.333;26.000.000;14.070.545;12.829.563;11.889.658;23.702.417;14.496.861;9.205.556;18.154.651;34.666.667;8.500.000;11.733.333;85.166.479;;0.500000;;;9;31;0.000000;0;1.503.571;12.656.421;12;58.000.000;9;32.000.000;48;20;27;46.000.000
48.664.782;15.047.821;6.805.495;0.844048;3.345.946;54.592.411;75.900.000;52.700.000;63.533.333;45.116.667;18.556.848;14.178.282;17.850.978;15.199.161;7.028.519;8.170.642;16.737.384;35.583.333;2.000.000;14.250.000;81.725.478;;5.500.000;;;4;16;1.166.667;0;2.463.889;6.210.722;15;39.000.000;17;19.000.000;58;5;20;27.000.000
45.671.211;7.013.142;0.976129;0.000000;1.491.667;57.934.362;9.833.333;87.916.667;95.583.333;25.916.667;3.328.571;29.132.701;22.343.847;14.565.909;6.157.341;8.408.568;17.670.256;73.983.333;1.500.000;4.342.857;63.764.433;;2.250.000;;;6;8;0.000000;0;4.142.670;2.316.306;19;43.000.000;20;10.000.000;19;16;27;12.000.000
42.749.938;6.700.595;5.527.241;1.191.148;2.590.512;61.521.061;61.466.667;73.633.333;53.483.333;29.500.000;17.339.423;24.791.825;14.251.346;14.228.702;5.871.079;8.357.623;15.533.742;58.000.000;4.000.000;13.600.000;71.234.114;;6.000.000;;;2;11;0.000000;0;0.977356;4.373.939;10;42.000.000;15;10.000.000;48;12;24;15.000.000
24.442.061;2.446.041;3.951.530;0.099537;0.961968;25.797.836;41.639.652;24.012.637;35.696.429;;7.892.310;8.272.951;7.794.033;15.913.356;4.423.327;11.490.030;10.611.282;10.464.286;11.716.667;10.272.655;38.350.361;;3.684.524;;;4;7;0.000000;0;1.085.902;2.835.329;3;28.000.000;16;6.000.000;13;3;14;8.000.000
44.256.778;2.376.601;5.667.438;0.233333;1.699.484;73.481.485;24.551.190;79.520.238;76.315.476;;5.276.668;48.211.459;17.292.929;20.269.114;8.478.213;11.790.900;12.061.694;45.816.667;0.000000;2.009.524;43.582.586;;3.750.000;;;4;11;0.000000;0;0.250490;1.726.672;12;25.000.000;18;10.000.000;32;3;9;9.000.000
50.067.591;8.450.372;3.415.873;0.750000;5.271.849;46.047.866;44.483.333;57.616.667;32.866.667;14.733.333;12.660.672;19.491.637;9.237.312;16.212.321;9.409.399;6.802.922;12.318.314;13.850.000;18.700.000;12.944.048;53.529.170;;0.000000;;;2;7;0.000000;0;0.914723;4.278.689;7;47.000.000;10;6.000.000;88;5;17;15.000.000
30.527.009;5.202.413;3.731.717;1.000.000;2.177.720;44.604.381;49.694.444;50.066.667;49.894.444;19.516.667;11.275.070;19.884.168;11.247.410;12.022.054;7.211.685;4.810.369;13.430.255;34.241.667;3.650.000;2.100.000;47.588.932;;4.958.333;;;4;6;0.000000;0;1.497.558;4.923.214;9;36.000.000;15;6.000.000;89;3;9;7.000.000
22.900.526;10.143.896;1.488.463;0.171429;2.916.624;48.703.712;63.502.381;36.716.667;66.297.619;31.985.714;16.543.418;12.083.262;16.816.573;11.518.342;3.148.468;8.369.874;14.914.989;48.133.333;3.833.333;8.016.667;58.186.031;15.116.667;3.083.333;;22.366.667;6;9;0.142857;0;0.076923;2.923.557;8;36.000.000;22;8.000.000;115;10;16;10.000.000
27.748.518;7.610.664;2.972.437;0.237374;2.501.290;59.848.944;61.166.667;81.083.333;37.341.667;11.991.667;18.030.074;30.363.416;9.783.489;11.339.818;4.326.830;7.012.988;9.101.284;37.600.000;4.500.000;7.408.333;63.324.798;11.033.333;2.700.000;;;11;9;0.090909;1;0.780132;3.772.144;1;28.000.000;16;20.000.000;64;6;14;17.000.000
29.995.427;3.357.208;3.655.912;0.510734;3.394.826;40.629.667;39.450.000;43.466.667;62.600.000;20.883.333;9.373.401;13.811.342;14.734.715;9.288.901;5.733.161;3.555.740;13.714.768;16.083.333;12.150.000;6.965.152;46.734.383;;4.833.333;;;1;6;1.033.333;0;0.718254;2.583.034;11;41.000.000;19;3.000.000;68;5;16;9.000.000
44.927.142;3.824.018;4.715.503;0.100000;1.460.870;67.353.296;49.933.333;89.700.000;33.750.000;12.450.000;12.990.189;42.807.423;8.061.919;12.081.765;4.979.772;7.101.992;10.273.867;34.919.048;3.759.524;13.627.778;59.816.231;;5.666.667;;;5;7;0.000000;0;1.450.044;3.092.111;4;36.000.000;6;13.000.000;58;4;19;15.000.000
27.450.133;4.778.196;3.097.304;1.761.236;2.522.225;54.280.448;41.447.619;65.352.381;54.897.619;10.219.048;10.912.606;27.494.314;12.821.070;12.002.003;3.382.502;8.619.501;12.158.239;26.948.485;3.400.000;9.491.667;44.524.708;14.809.524;1.500.000;;36.048.918;3;3;0.000000;0;0.365278;2.123.776;10;29.000.000;15;4.000.000;49;2;16;4.000.000
21.108.265;3.585.281;2.022.943;0.491667;0.583649;58.974.024;54.861.905;82.359.524;45.511.905;20.835.714;13.954.069;32.612.748;10.567.417;11.597.397;3.625.208;7.972.189;10.373.703;41.316.667;3.950.000;5.433.333;53.613.077;;2.833.333;;;1;3;0.000000;0;1.194.389;2.295.182;4;36.000.000;10;5.000.000;66;3;17;4.000.000
31.589.749;5.466.877;5.570.887;0.611111;3.454.542;65.287.858;62.734.524;75.158.333;52.998.810;;16.310.989;33.177.598;13.806.739;13.626.909;6.738.799;6.888.110;11.383.612;34.616.667;12.000.000;6.119.048;63.125.653;;;;20.516.667;9;9;0.000000;0;0.616917;7.709.955;3;31.000.000;10;18.000.000;65;5;9;11.000.000
29.034.567;9.303.714;4.102.298;0.142857;2.851.138;49.091.648;39.902.778;44.008.333;65.286.111;27.175.000;10.480.025;20.507.893;15.724.942;14.674.105;6.444.976;8.229.129;12.957.643;32.483.333;2.333.333;8.071.429;48.073.807;15.600.000;2.033.333;;;4;9;0.225000;0;1.519.185;1.542.742;4;29.000.000;11;9.000.000;68;3;8;9.000.000
12.091.335;0.563175;3.499.654;0.258426;0.873949;11.245.985;20.052.381;29.966.450;15.894.156;12.932.251;3.317.922;5.233.620;2.174.661;6.183.820;3.490.083;2.693.737;5.735.953;4.678.571;2.688.492;4.520.932;18.865.472;15.430.159;1.025.000;;;2;3;0.040000;0;0.158793;0.900504;5;29.000.000;5;2.000.000;2;0;8;4.000.000
35.742.517;5.243.907;7.422.448;4.163.900;1.053.242;17.978.739;10.600.000;22.059.524;46.842.857;18.859.524;1.585.060;6.057.768;9.164.268;13.270.405;7.856.988;5.413.417;8.715.501;24.697.619;0.900000;9.311.003;30.127.448;;1.904.762;;;11;4;0.000000;0;0.000000;1.600.787;5;42.000.000;10;19.000.000;6;7;14;8.000.000
26.293.085;12.241.270;5.975.571;0.356239;2.101.428;10.968.874;21.469.048;22.628.571;14.942.857;12.409.524;2.987.446;5.218.768;1.868.966;8.526.897;5.371.298;3.155.599;8.727.832;2.333.333;4.452.381;14.730.267;26.724.601;13.954.762;7.403.968;;;2;8;0.000000;0;3.209.687;2.570.336;4;54.000.000;1;4.000.000;5;1;8;9.000.000
16.744.321;0.016393;4.462.070;0.660530;0.253549;7.030.495;30.485.714;16.492.857;8.876.190;7.709.524;3.193.351;1.972.698;0.914288;3.685.551;4.210.787;-0.525236;6.966.388;4.183.333;6.683.333;6.338.431;15.299.039;10.145.238;5.126.190;;17.223.810;1;4;0.000000;0;0.762562;1.530.844;6;24.000.000;9;2.000.000;0;3;14;2.000.000
20.496.628;1.877.831;4.877.169;0.625372;0.245139;5.527.586;5.333.333;22.916.667;23.583.333;21.083.333;0.585118;2.489.911;2.282.904;7.115.785;4.788.730;2.327.055;7.120.720;2.044.444;5.328.571;8.394.816;19.480.006;3.095.238;10.472.222;16.314.286;25.069.048;0;1;0.000000;0;0.566206;1.693.553;3;36.000.000;4;0.000000;0;0;13;4.000.000
15.708.986;0.589597;3.330.088;0.074825;0.870214;7.467.463;9.976.190;23.811.905;18.170.563;12.117.532;1.454.766;3.372.066;2.082.818;4.585.233;3.248.719;1.336.515;5.770.221;3.839.322;1.842.857;5.000.866;16.423.232;8.985.354;8.052.381;15.139.755;21.630.303;0;2;0.000000;0;0.502197;0.570388;5;21.000.000;3;0.000000;1;1;9;2.000.000
15.107.471;1.029.826;2.868.782;0.702894;0.512869;5.242.675;22.428.571;9.483.333;13.919.048;10.316.667;2.398.314;1.414.658;1.108.398;5.953.824;4.504.192;1.449.632;7.259.041;3.163.690;3.467.857;3.314.225;12.940.582;3.167.857;2.822.024;18.133.333;14.139.881;0;2;0.000000;0;0.629563;2.682.744;1;45.000.000;2;0.000000;0;2;6;2.000.000
21.538.524;2.355.912;5.889.437;0.708333;0.299107;19.219.350;17.066.667;46.550.000;29.050.000;;3.598.477;7.975.642;4.907.116;7.298.987;4.768.966;2.530.021;10.159.910;12.383.333;6.958.333;9.053.510;36.578.553;12.583.333;4.916.667;19.909.524;;5;14;0.160383;0;0.400433;1.377.179;3;24.000.000;9;6.000.000;16;12;21;12.500.000
21.187.459;1.961.236;7.197.490;0.607034;1.442.225;7.682.857;21.325.000;4.875.000;27.450.000;14.833.333;2.143.002;0.546261;4.067.338;7.314.924;4.648.230;2.666.694;9.660.420;40.209.524;1.766.667;5.978.279;21.711.006;;;;27.678.571;1;3;0.000000;0;0.593589;1.138.526;4;17.000.000;4;1.000.000;0;0;8;3.000.000
20.168.916;0.786293;4.495.137;0.984372;0.943379;13.996.465;22.116.667;34.150.000;26.166.667;8.700.000;3.193.146;5.475.777;4.298.402;5.644.901;3.561.186;2.083.715;9.022.266;5.200.000;3.009.524;10.394.444;27.553.825;;1.900.000;;20.954.762;3;5;0.000000;0;0.301794;1.156.176;2;26.000.000;11;6.000.000;7;5;13;6.000.000
24.679.611;5.071.931;6.350.587;1.299.800;0.871591;10.864.582;17.000.000;21.291.667;22.041.667;6.583.333;2.243.366;3.867.169;3.328.460;7.994.316;6.679.415;1.314.901;11.088.606;29.783.333;8.366.667;5.220.238;21.238.467;;11.092.857;;;2;1;0.219780;0;0.405185;1.691.805;5;35.000.000;5;5.000.000;4;2;5;4.000.000
21.573.735;1.103.982;5.348.413;1.167.516;2.493.391;10.287.440;5.369.048;48.288.095;10.116.667;9.450.000;0.543409;8.176.191;1.521.206;6.320.973;3.971.506;2.349.467;8.838.588;6.433.333;12.009.524;7.565.079;21.153.787;10.895.238;6.033.333;;29.552.381;0;2;0.000000;0;0.319643;2.079.874;0;55.000.000;2;1.000.000;9;0;10;5.000.000
16.060.178;2.184.957;3.797.389;0.399629;0.173409;16.457.497;45.385.714;23.633.333;24.595.238;18.385.714;6.084.923;4.553.255;3.710.222;9.580.519;3.501.818;6.078.701;8.730.799;3.133.333;15.684.524;9.347.955;29.769.882;;4.100.000;;26.633.442;1;4;0.000000;0;0.833333;2.481.716;3;60.000.000;15;5.000.000;5;2;12;6.000.000
29.052.246;1.700.000;5.456.360;0.283756;2.207.722;20.139.045;7.459.524;36.930.952;57.733.333;;1.509.789;7.239.215;10.293.097;8.498.787;4.971.019;3.527.768;10.842.353;21.426.190;6.933.333;6.076.623;42.886.009;18.277.381;10.850.000;;;13;12;0.200000;0;1.027.965;2.907.610;3;43.000.000;10;17.000.000;4;7;13;12.000.000
13.814.117;0.793074;4.348.547;1.195.909;1.866.577;18.432.963;32.092.857;33.406.746;21.963.095;15.579.762;5.807.233;7.971.312;3.946.913;8.918.658;5.577.882;3.340.776;5.506.650;11.419.538;4.900.980;14.961.118;31.239.091;;1.250.000;;20.818.627;2;3;0.247619;0;0.733212;1.319.883;3;16.000.000;7;3.000.000;3;1;10;13.000.000
22.424.367;1.063.030;3.842.879;0.303535;1.172.157;16.140.621;13.380.952;49.341.667;23.414.286;19.361.905;2.636.364;8.990.391;3.492.455;6.385.917;3.870.373;2.515.545;9.381.411;6.897.161;4.916.667;12.078.987;29.291.155;15.920.177;2.003.968;;19.259.280;9;5;0.034483;0;0.130252;1.902.924;4;43.000.000;6;11.000.000;4;0;6;5.000.000
32.356.230;8.052.127;5.938.947;0.410965;1.273.889;29.831.707;29.350.000;49.702.381;42.338.095;21.669.048;5.194.134;11.023.870;9.649.430;22.353.327;3.873.856;18.479.472;14.843.644;11.845.238;2.083.333;15.495.238;53.603.248;17.809.524;4.369.048;;;15;8;0.000000;0;0.951824;2.436.067;7;50.500.000;7;26.500.000;16;5;8;24.000.000
13.172.217;1.285.374;3.467.250;0.419240;0.671740;7.756.870;25.765.079;12.972.222;17.118.651;8.630.556;2.874.383;1.463.964;2.833.930;3.906.925;2.837.150;1.069.775;6.316.403;5.661.905;3.056.227;3.787.563;17.524.184;9.105.495;2.725.000;11.720.055;19.181.269;2;4;0.586543;0;0.470037;0.684900;3;14.000.000;6;2.000.000;0;2;8;5.000.000
13.097.787;1.288.910;2.750.289;0.483274;1.252.626;7.893.694;23.240.079;9.453.968;13.055.159;9.094.444;3.069.512;1.634.781;2.190.358;5.024.224;3.559.938;1.464.286;7.193.601;4.366.667;5.257.576;8.957.256;17.811.364;13.971.465;4.116.270;19.370.310;16.776.407;2;1;0.419029;0;0.075412;0.757002;0;14.000.000;9;2.000.000;3;2;5;3.000.000
12.540.908;1.330.095;3.064.639;0.402044;0.842335;11.280.640;23.891.126;17.081.061;19.698.268;8.157.576;3.465.375;3.826.463;3.196.226;4.064.753;2.454.344;1.610.408;6.777.528;12.231.746;0.825000;6.386.036;19.894.114;11.514.755;4.116.667;20.364.033;22.617.569;0;2;0.633625;0;0.018519;1.822.945;2;20.000.000;10;0.000000;4;2;8;6.000.000
15.930.965;1.124.231;3.400.575;0.225490;0.624684;9.752.799;33.023.810;14.840.476;19.709.524;10.933.333;4.054.172;2.180.561;2.768.050;6.195.343;4.072.431;2.122.912;7.079.848;0.983333;2.509.524;7.474.986;21.766.690;;1.448.413;21.637.302;18.369.841;4;6;0.448451;0;0.401672;0.985598;3;21.000.000;14;2.000.000;2;5;8;3.000.000
12.772.823;0.816497;3.235.968;0.172563;0.687416;9.261.720;22.532.143;14.838.095;19.604.762;12.533.333;3.472.484;2.141.744;2.599.442;6.422.309;4.012.909;2.409.400;6.614.146;5.690.476;1.093.254;4.717.279;21.226.208;;5.413.889;17.893.254;22.109.524;5;3;0.033333;0;0.072598;0.969187;4;23.000.000;4;5.000.000;2;1;4;8.000.000
17.885.033;0.528739;2.278.735;0.073316;1.232.076;13.822.772;32.666.991;23.617.100;13.068.290;;5.296.687;4.970.653;2.113.168;5.620.180;2.831.006;2.789.174;6.968.677;17.969.048;1.726.190;2.749.242;25.437.222;9.250.336;3.828.907;13.248.291;18.801.740;3;5;0.000000;0;0.812369;0.473840;0;15.000.000;11;5.000.000;4;3;6;8.000.000
11.726.768;0.294250;3.493.782;0.047269;1.129.337;9.900.394;15.222.619;10.542.857;28.069.048;8.166.667;2.161.302;1.399.448;5.214.258;4.521.538;2.082.847;2.438.692;6.945.429;2.005.556;0.587302;5.783.089;18.971.786;;1.261.111;;22.440.476;5;2;0.000000;0;0.295455;0.629214;1;21.000.000;13;5.000.000;3;3;5;7.000.000
12.334.033;0.899158;2.488.632;0.530596;0.755348;5.608.001;28.833.333;7.083.333;13.791.667;8.625.000;2.927.174;0.827720;1.622.085;3.877.001;2.979.748;0.897253;6.584.753;1.067.100;1.542.857;5.610.901;13.830.967;8.490.945;1.969.048;13.610.895;22.041.558;0;0;0.000000;0;0.186987;0.459605;6;24.000.000;5;1.000.000;1;0;6;0.000000
13.891.616;1.408.752;4.186.882;0.548995;1.334.374;11.268.244;29.567.460;17.465.873;15.655.556;9.358.730;4.512.157;3.306.440;2.479.535;3.776.805;2.323.890;1.452.915;8.041.365;4.385.714;1.785.714;6.860.256;20.368.334;11.381.457;2.343.290;14.820.346;20.944.949;1;9;0.454715;0;0.177884;0.345487;4;20.000.000;5;1.000.000;8;2;4;11.000.000
20.847.812;3.861.165;4.169.653;0.196688;1.245.008;21.791.137;41.626.190;32.445.238;27.021.429;11.933.333;7.836.643;6.846.976;5.590.662;8.904.749;3.973.959;4.930.790;9.662.136;28.016.667;1.944.444;10.048.846;34.014.021;;2.537.302;26.260.317;16.056.349;2;5;0.000000;0;0.445184;2.863.979;5;16.000.000;10;9.000.000;18;5;9;10.000.000
19.264.335;3.008.712;3.985.401;0.000000;0.924766;19.893.017;43.241.558;29.227.994;18.648.016;10.079.040;7.787.268;7.817.549;3.795.166;8.310.696;3.704.964;4.605.732;7.298.569;6.495.513;1.500.000;5.694.154;30.455.609;14.066.317;6.750.000;;20.408.294;2;4;0.125000;0;0.254555;1.217.588;5;17.000.000;12;3.000.000;9;2;11;6.000.000
10.789.470;0.227568;2.781.786;0.087086;0.410476;6.229.601;20.538.889;15.975.397;10.269.841;7.136.508;2.510.680;1.821.306;1.570.318;3.661.938;2.186.836;1.475.102;6.106.904;2.622.161;1.124.242;6.193.771;13.506.087;;1.167.832;11.448.374;17.439.258;0;0;0.056338;0;0.230803;0.486342;9;18.500.000;6;1.000.000;4;0;3;0.000000
16.530.615;1.392.536;4.187.567;0.122460;1.207.262;9.618.834;34.804.762;10.616.667;12.316.667;4.783.333;4.965.956;1.344.724;1.939.858;6.678.696;4.110.765;2.567.931;7.707.825;4.436.905;2.283.333;7.736.219;20.937.494;19.094.048;1.892.857;;19.283.333;1;0;0.071078;0;0.947038;1.110.937;3;14.000.000;11;2.000.000;2;1;8;2.000.000
12.781.908;1.386.065;3.185.721;0.468545;0.648706;11.112.288;31.435.714;24.784.271;14.309.199;10.575.866;3.998.093;4.360.792;2.062.148;5.937.379;3.310.306;2.627.072;6.812.241;3.592.857;3.819.048;6.073.543;21.748.998;17.230.952;3.576.190;17.032.540;17.813.095;1;2;0.087619;0;0.050118;0.482661;2;16.000.000;9;3.000.000;1;0;9;2.000.000
19.979.919;4.371.094;4.278.255;0.415790;1.965.377;25.087.485;48.167.424;34.587.121;28.563.636;20.730.303;9.657.141;7.659.462;6.204.603;10.054.285;3.991.663;6.062.621;9.427.180;10.574.242;3.066.667;13.271.032;42.143.016;;3.750.000;;31.456.818;9;4;0.000000;2;0.559702;1.430.488;3;23.000.000;15;12.000.000;12;5;14;12.000.000
20.924.181;3.302.277;4.237.996;0.290364;1.802.928;14.771.114;38.616.667;23.992.857;10.595.238;6.726.190;6.352.543;5.136.936;1.557.547;5.295.904;4.106.741;1.189.163;9.824.940;1.309.524;0.866667;6.642.183;28.127.261;26.304.762;2.476.190;27.369.048;22.304.762;4;9;0.130252;0;0.638680;1.095.079;6;15.000.000;14;6.000.000;15;4;13;12.000.000
17.868.753;2.427.682;5.482.106;0.159944;0.435004;8.318.396;34.719.048;10.833.333;16.142.857;11.809.524;4.133.385;1.557.307;2.057.531;6.148.743;4.610.316;1.538.427;7.034.758;9.266.667;4.916.667;6.528.571;21.957.699;;3.383.333;27.359.524;;2;2;0.076923;0;0.191788;3.144.986;4;18.000.000;14;1.000.000;7;1;13;3.000.000
16.110.655;3.643.755;3.460.776;1.742.162;0.314719;6.671.920;23.680.769;15.337.179;18.711.538;10.537.179;2.294.058;1.733.455;2.231.869;4.741.482;3.271.460;1.470.023;8.245.512;1.400.000;11.166.667;6.187.949;19.168.139;17.113.095;0.983333;;16.385.714;2;3;0.000000;0;0.315273;0.973269;7;25.000.000;4;5.000.000;2;2;8;3.000.000
14.815.964;0.902674;4.016.208;0.576644;0.579280;12.587.676;40.931.530;16.071.934;14.064.358;7.473.449;6.697.380;2.606.273;1.971.861;6.581.323;4.154.405;2.426.919;8.872.924;20.106.349;2.277.778;6.298.063;22.073.891;14.160.317;3.527.778;;24.886.508;4;7;0.013889;0;0.949212;1.156.788;4;7.000.000;18;2.000.000;12;6;9;9.000.000
20.242.960;1.845.783;6.520.038;0.547532;1.494.527;15.200.215;50.355.556;11.527.778;23.208.730;12.019.048;9.040.294;1.924.847;4.004.747;9.146.538;5.430.914;3.715.623;9.123.290;15.203.968;1.811.111;7.817.893;27.470.147;14.398.413;1.392.857;29.326.190;19.888.095;6;6;0.363037;0;0.550529;0.931219;1;7.000.000;14;7.000.000;11;1;9;10.000.000
12.482.511;3.877.630;4.487.892;0.395610;0.576897;4.509.068;8.254.762;10.575.000;18.127.381;8.652.381;0.971165;1.315.859;2.146.536;4.751.120;3.822.876;0.928244;6.342.785;6.768.590;2.160.256;2.768.921;11.878.190;;5.473.626;;;3;0;0.111511;0;0.103268;0.693013;4;11.000.000;4;4.000.000;1;0;4;0.000000
17.875.921;4.877.958;4.862.776;0.770563;1.522.428;7.283.873;13.194.444;8.527.778;22.859.127;3.125.000;2.154.478;0.950087;3.458.021;5.582.185;3.963.847;1.618.338;9.954.633;12.327.381;5.250.000;6.413.087;18.168.727;;6.926.190;;18.648.810;3;5;1.074.305;0;0.192705;0.883476;7;12.000.000;6;6.000.000;1;8;9;1.000.000
17.213.118;3.303.373;4.218.313;0.330136;0.835775;5.190.718;19.580.952;9.535.714;13.483.333;5.661.905;2.124.614;0.862009;1.830.335;5.528.351;4.582.746;0.945605;8.461.601;5.027.778;6.333.333;3.899.914;16.175.611;17.589.683;7.753.968;;17.601.587;3;0;0.338960;0;0.211659;0.515249;9;16.000.000;4;5.000.000;1;3;4;3.000.000
16.719.139;6.936.739;5.279.522;0.062030;1.084.161;5.840.025;13.760.714;1.927.778;17.389.683;4.733.333;2.115.822;0.333941;2.664.021;5.440.972;4.199.175;1.241.796;8.207.821;11.366.667;8.411.905;1.772.619;15.754.437;16.666.667;6.392.857;21.480.952;10.592.857;2;0;0.961311;0;0.414490;0.528871;12;7.000.000;2;2.000.000;1;1;3;0.000000
13.185.467;1.539.631;2.984.548;0.574451;1.335.171;9.307.157;24.329.762;15.375.000;14.452.381;9.308.333;3.736.620;2.607.860;2.310.780;3.572.598;2.884.865;0.687733;6.826.408;6.494.048;5.502.381;4.412.828;19.379.578;28.608.442;5.085.714;13.835.390;19.200.108;5;1;0.288535;0;0.077679;0.691090;5;15.000.000;2;4.000.000;0;1;10;6.000.000
13.047.885;2.384.965;2.992.604;0.349072;0.970307;7.781.564;28.011.181;8.957.516;14.304.132;7.494.328;4.187.515;1.172.781;1.878.802;3.559.055;2.472.359;1.086.696;7.435.680;9.602.056;3.204.762;7.034.398;17.528.741;14.337.338;2.600.000;16.389.610;17.830.087;4;5;0.184512;0;0.319843;0.445631;2;13.000.000;2;7.000.000;4;3;9;7.000.000
16.305.170;2.796.103;3.877.093;0.901966;0.607495;5.552.907;10.626.190;10.166.558;20.739.394;7.800.433;1.186.325;1.191.726;2.619.643;5.966.087;5.269.393;0.696695;8.831.311;13.294.444;7.241.703;3.331.312;14.952.988;15.765.584;7.952.381;;14.713.564;2;3;0.252364;0;0.177687;1.121.730;8;14.000.000;10;1.000.000;3;4;8;9.000.000
20.098.157;5.228.561;4.818.562;0.598054;0.867967;6.501.052;15.652.381;14.267.857;17.026.190;9.583.333;2.189.813;1.607.448;2.297.784;7.418.810;6.637.007;0.781803;9.812.083;7.735.256;12.020.513;3.819.318;16.109.188;;6.087.179;;23.816.026;1;1;0.222400;0;0.357289;0.989298;10;13.000.000;6;0.000000;4;3;9;3.000.000
21.762.784;3.839.028;6.724.728;0.681122;1.343.238;7.184.015;27.326.190;12.755.556;8.296.825;3.644.444;3.574.255;1.495.968;1.653.291;6.516.700;5.086.370;1.430.329;10.815.187;13.766.667;9.092.857;3.713.925;19.670.657;;5.376.190;;;4;1;0.355817;0;0.405476;0.956862;8;13.000.000;2;3.000.000;0;2;10;5.000.000
18.474.128;5.259.108;5.325.501;0.828301;1.273.883;5.890.552;10.828.571;11.100.000;20.535.714;11.319.048;1.544.349;1.022.409;2.833.863;6.756.498;4.974.528;1.781.970;11.203.916;14.916.667;10.200.000;2.215.873;17.138.790;20.383.333;5.083.333;;16.650.000;2;3;0.489314;0;0.355150;1.056.670;9;22.000.000;20;0.000000;3;2;5;2.000.000
28.349.650;3.086.183;4.688.311;0.106667;1.073.309;13.269.775;32.316.667;26.116.667;30.733.333;17.166.667;4.021.606;4.370.175;4.143.829;3.496.020;2.813.507;0.682513;11.951.156;6.283.333;6.416.667;15.531.421;29.016.365;;12.009.524;;;2;5;1.825.397;0;0.750857;2.323.041;4;22.000.000;13;3.000.000;4;2;9;7.000.000
22.900.395;3.464.793;6.287.116;0.045455;1.646.727;11.493.490;40.283.333;7.350.000;26.983.333;10.166.667;5.574.810;2.055.791;3.628.353;4.322.773;3.313.631;1.009.142;9.198.897;4.483.333;7.666.667;6.978.968;24.354.558;14.866.667;4.783.333;22.633.333;35.650.000;2;0;2.238.829;0;0.312500;0.671679;2;14.000.000;11;3.000.000;3;1;11;4.000.000
28.975.664;5.497.711;6.740.146;0.793866;2.309.036;9.278.175;28.566.667;3.500.000;17.866.667;10.533.333;4.458.913;1.352.941;3.106.507;6.867.632;5.248.247;1.619.384;13.148.910;21.666.667;3.433.333;5.732.540;21.318.661;;5.166.667;;16.516.667;1;5;1.118.270;0;0.099034;1.014.619;12;12.000.000;6;3.000.000;0;1;4;8.000.000
20.545.222;1.994.367;4.794.595;0.048039;1.117.045;5.157.147;25.733.333;1.000.000;11.466.667;4.916.667;2.643.338;0.361111;1.598.239;5.081.649;4.131.146;0.950503;8.955.174;6.444.444;4.152.381;5.959.352;16.181.306;29.490.873;8.461.111;;;0;0;1.221.276;0;0.363672;0.526364;3;8.000.000;6;1.000.000;2;0;2;2.000.000
26.544.470;3.901.929;5.893.808;0.071250;2.377.325;12.834.130;26.092.857;10.158.333;20.746.429;;4.257.630;2.787.504;4.610.765;6.303.286;3.745.707;2.557.579;11.035.228;6.616.667;5.176.190;6.692.857;26.290.360;22.533.333;6.400.000;24.219.048;20.357.143;4;3;3.146.537;0;1.170.952;0.854596;9;16.000.000;7;7.000.000;5;1;9;9.000.000
27.177.192;5.223.473;4.203.139;0.762575;2.784.807;12.239.035;31.366.667;4.166.667;25.366.667;6.333.333;5.357.033;1.259.804;4.518.639;6.600.624;5.056.631;1.543.993;11.555.146;13.833.333;4.416.667;4.446.825;25.946.891;;12.083.333;;22.500.000;2;4;1.960.913;0;0.337574;1.022.812;9;9.000.000;23;3.000.000;1;1;6;8.000.000
24.538.708;2.862.675;6.417.536;1.064.256;0.537691;4.070.500;19.166.667;2.500.000;14.500.000;1.666.667;1.580.941;0.287395;1.466.613;10.689.786;6.376.183;4.313.603;13.168.666;4.333.333;9.309.524;6.087.515;19.672.501;;10.559.524;;16.404.762;0;1;1.521.861;0;0.120341;0.503745;9;15.000.000;11;2.000.000;0;3;8;1.000.000
29.191.349;5.518.642;7.218.321;0.871910;1.473.068;8.037.073;31.785.714;3.500.000;15.809.524;6.166.667;4.195.126;1.100.000;2.487.432;6.964.585;5.720.654;1.243.931;11.754.069;7.750.000;10.000.000;3.727.381;19.761.711;;11.666.667;;;1;6;2.937.303;0;0.068694;0.392558;9;12.000.000;12;1.000.000;1;0;4;4.000.000
