nn_W;np_W;nominal_W;neoclass_W;poss_pronoun_W;pronoun_all_W;p1_perspron_P;p2_perspron_P;p3_perspron_P;it_P;pospers1_W;pospers2_W;pospers3_W;adj_W;atadj_W;predadj_W;prep_W;past_tense_F;will_F;modal_verb_V;verb_W;infinitive_F;passive_F;coordination_F;subordination_F;interrogative_S;imperative_S;title_W;salutation_S;place_adv_W;time_adv_W;prep_initial_S;adv_initial_S;text_initial_S;wh_initial_S;disc_initial_S;nonfin_initial_S;subord_initial_S;verb_initial_S
18.096.826;2.745.035;6.620.415;0.165080;1.002.627;3.061.353;0.000000;0.000000;21.150.000;11.166.667;0.000000;0.000000;2.519.141;6.887.891;5.151.895;1.735.996;8.761.152;20.083.333;3.366.667;5.977.381;14.788.614;;9.283.333;;27.083.333;3;0;0.189181;0;0.221546;0.467239;5;11.000.000;4;3.000.000;0;3;10;2.000.000
16.900.899;1.259.492;4.377.229;0.405993;0.959162;2.527.425;0.000000;0.000000;20.083.333;7.250.000;0.000000;0.000000;2.088.480;9.812.338;7.644.904;2.167.434;6.830.021;5.100.000;2.250.000;7.701.343;15.034.664;;10.900.000;45.666.667;22.366.667;4;2;0.100887;0;0.092677;0.440390;4;9.000.000;3;3.000.000;0;6;9;5.000.000
21.732.093;4.385.536;6.099.466;0.686652;1.749.743;4.127.819;3.333.333;0.000000;26.833.333;13.666.667;0.294224;0.000000;3.563.962;8.747.253;7.754.169;0.993084;8.894.899;10.583.333;9.083.333;5.794.048;18.456.123;;6.000.000;;25.750.000;4;0;0.839941;0;0.306829;0.531540;8;5.000.000;13;2.000.000;0;8;16;0.000000
17.251.447;1.462.152;4.644.318;0.300019;0.754047;3.346.125;0.000000;0.500000;21.316.667;11.250.000;0.000000;0.050000;2.468.092;6.687.495;4.953.123;1.734.372;8.660.585;13.616.667;1.083.333;3.725.099;13.434.200;;8.800.000;30.116.667;18.416.667;6;2;0.560410;0;0.256623;0.780635;10;5.000.000;7;4.000.000;0;0;5;2.000.000
17.221.377;2.431.516;4.219.545;0.052493;1.580.706;6.637.014;2.384.615;0.307692;31.876.923;14.100.000;0.275085;0.091270;5.509.860;6.467.259;4.130.523;2.336.736;7.159.519;8.983.333;4.033.333;5.880.952;17.661.596;15.316.667;2.000.000;23.416.667;26.016.667;11;3;0.884461;0;0.177412;0.372589;5;5.000.000;7;9.000.000;2;4;11;5.000.000
35.781.091;6.139.611;2.499.225;0.150443;3.503.607;21.244.386;5.416.667;10.166.667;66.083.333;11.033.333;1.177.552;3.310.596;13.985.914;8.655.483;4.741.945;3.913.538;14.434.020;127.016.667;1.000.000;6.326.190;42.267.321;21.950.000;8.259.524;26.292.857;21.628.571;43;2;0.000000;0;0.762716;2.460.671;5;9.000.000;9;19.000.000;1;7;9;3.000.000
18.543.145;0.706167;3.399.575;0.037037;3.415.117;18.007.067;10.559.524;14.650.000;53.421.429;5.483.333;3.059.743;2.597.504;11.250.250;9.646.337;5.985.294;3.661.043;8.734.582;81.088.889;1.416.667;5.198.277;29.166.759;16.133.333;3.811.111;33.472.222;15.022.222;33;3;0.000000;0;0.890054;2.309.200;7;12.000.000;0;12.000.000;8;2;3;5.000.000
36.479.209;7.678.295;7.523.792;0.655627;4.590.720;21.125.787;12.116.667;9.950.000;66.416.667;17.366.667;2.814.760;2.478.206;13.118.481;9.667.098;7.552.475;2.114.623;11.906.917;112.583.333;0.750000;6.266.667;35.102.409;;8.166.667;;15.000.000;22;7;0.313611;0;1.520.270;1.999.932;11;27.000.000;12;1.000.000;12;10;14;6.000.000
23.022.520;1.245.202;5.299.722;0.449601;4.265.076;18.037.728;10.616.667;7.133.333;46.768.651;7.000.000;2.200.944;1.308.518;12.164.740;6.758.270;3.706.789;3.051.481;9.882.248;82.075.000;0.000000;3.675.397;26.433.621;19.550.000;3.208.333;26.600.000;14.875.000;10;6;0.000000;1;0.632196;1.874.890;4;8.000.000;4;3.000.000;1;6;8;5.000.000
26.084.629;11.680.051;5.155.081;0.253788;6.477.292;43.895.936;60.740.476;19.426.190;63.304.762;19.166.667;17.085.937;5.080.406;18.895.061;9.127.078;2.528.523;6.598.554;13.262.685;111.354.762;2.092.857;7.907.937;51.872.186;23.400.000;3.833.333;19.819.048;15.733.333;47;7;0.372817;0;1.346.589;2.650.579;4;15.000.000;7;8.000.000;5;4;13;17.000.000
34.260.733;4.015.014;6.538.399;0.773408;3.357.189;27.518.814;56.876.190;5.616.667;43.702.381;33.726.190;13.233.675;1.270.811;10.175.288;12.885.336;7.412.728;5.472.608;13.773.712;108.716.667;2.000.000;4.783.333;42.970.895;18.375.000;6.833.333;;17.866.667;22;9;0.367721;0;1.439.935;3.498.181;6;26.000.000;8;5.000.000;6;3;9;10.000.000
34.965.552;1.719.047;8.452.113;0.389511;4.132.123;27.555.616;45.980.952;16.559.524;49.047.619;15.659.524;10.637.837;4.170.707;10.929.807;11.130.619;6.534.030;4.596.589;13.252.226;85.750.000;3.166.667;8.615.476;41.378.474;18.816.667;7.616.667;;;17;3;0.380909;0;0.816547;3.299.709;6;9.000.000;12;11.000.000;4;5;12;4.000.000
21.818.942;10.902.917;2.209.142;0.570280;1.729.442;18.275.035;12.683.333;9.466.667;66.750.000;29.550.000;2.476.029;1.551.078;11.933.211;9.190.330;5.624.696;3.565.633;11.758.496;101.333.333;1.333.333;5.776.190;36.530.163;;6.333.333;;;17;5;0.000000;0;0.754551;1.087.637;9;18.000.000;9;5.000.000;4;5;11;3.000.000
18.323.584;3.809.222;4.094.528;0.093750;4.910.283;14.902.283;33.445.238;0.000000;23.878.175;3.612.302;8.772.449;0.000000;5.324.885;4.824.501;3.272.596;1.551.905;9.519.793;67.763.889;0.000000;5.799.242;19.600.948;13.586.111;1.540.909;;13.795.707;0;2;0.293788;0;0.348947;1.220.699;5;4.000.000;3;1.000.000;3;2;4;2.000.000
17.706.559;7.573.707;2.260.372;0.710145;4.328.522;15.638.335;5.416.667;6.750.000;49.729.762;8.876.190;1.181.824;1.827.758;11.373.165;6.334.293;2.802.399;3.531.894;9.807.032;92.022.222;1.666.667;5.709.758;26.430.923;17.572.222;6.333.333;37.188.889;31.050.000;15;4;0.000000;0;0.280599;2.580.644;5;12.000.000;14;2.000.000;5;4;13;9.000.000
23.975.959;8.534.951;5.106.449;0.277824;3.269.633;15.079.372;6.642.857;4.392.857;58.735.714;9.116.667;1.230.060;0.803235;12.089.664;8.604.857;6.483.446;2.121.411;13.934.062;96.616.667;0.900000;3.985.354;26.295.872;10.483.333;5.333.333;;12.566.667;8;11;0.342893;0;0.262843;1.336.293;10;10.000.000;3;2.000.000;0;7;10;11.000.000
25.170.556;3.106.838;6.135.579;1.306.097;4.051.931;21.705.989;46.607.143;15.000.000;24.491.667;6.661.905;11.179.570;4.074.648;5.291.350;7.908.274;5.368.215;2.540.059;10.786.724;82.250.000;1.083.333;4.584.524;34.317.220;;4.750.000;;16.583.333;13;12;0.395833;0;0.791473;2.275.779;6;16.000.000;8;2.000.000;5;2;7;14.000.000
18.069.302;2.306.095;3.007.714;0.281197;5.951.162;31.946.441;32.624.603;17.985.317;51.385.317;7.350.000;9.495.972;5.288.360;14.722.255;7.520.278;3.917.487;3.602.791;10.397.046;89.773.810;3.833.333;5.778.968;38.079.847;24.621.429;3.166.667;;26.028.571;24;5;0.000000;0;0.363578;1.998.401;9;25.000.000;6;3.000.000;4;6;12;6.000.000
23.359.092;2.408.689;3.951.121;0.555060;4.359.448;27.936.836;70.683.333;2.666.667;35.878.571;10.283.333;17.103.027;0.677868;8.565.143;11.013.098;7.560.597;3.452.501;11.896.523;124.600.000;3.833.333;5.517.857;34.343.799;;2.250.000;38.066.667;14.200.000;13;1;0.000000;0;1.315.180;2.770.723;7;17.000.000;2;6.000.000;10;1;5;4.000.000
42.648.783;10.432.811;3.949.552;0.000000;6.109.906;22.243.451;27.883.333;15.266.667;36.150.000;9.166.667;6.852.472;3.855.756;10.356.342;10.187.428;5.186.213;5.001.215;17.276.551;99.400.000;5.750.000;4.142.857;45.047.423;;9.000.000;;15.950.000;23;18;0.423611;0;0.978237;0.810748;14;20.000.000;10;8.000.000;18;5;6;22.000.000
25.252.771;3.857.249;5.981.046;0.253892;4.281.061;17.732.463;10.392.857;7.000.000;53.611.905;9.192.857;2.304.305;1.061.241;12.300.854;11.846.020;8.086.440;3.759.580;10.663.026;55.283.333;7.333.333;8.270.238;33.660.721;;6.483.333;;23.816.667;11;4;0.484573;0;0.343590;1.190.534;8;20.000.000;1;3.000.000;3;8;12;4.000.000
27.015.213;4.328.818;5.705.696;0.453797;4.152.697;21.193.357;17.833.333;14.916.667;60.095.238;13.126.190;4.248.652;3.407.818;11.941.811;9.692.976;5.479.890;4.213.086;12.900.572;89.416.667;1.000.000;6.241.270;29.756.392;;7.366.667;24.950.000;30.116.667;16;0;0.436111;0;0.348055;2.050.702;12;14.000.000;5;6.000.000;4;6;17;0.000000
40.004.034;2.766.301;4.015.908;0.157576;7.537.012;23.338.745;10.500.000;5.750.000;61.542.857;10.333.333;3.138.550;3.129.255;15.750.378;10.833.230;7.424.309;3.408.922;13.712.330;109.250.000;3.833.333;5.833.333;42.393.014;14.583.333;6.583.333;;13.333.333;21;14;0.191667;0;0.483196;1.403.536;14;8.000.000;4;9.000.000;1;2;6;15.000.000
24.173.161;3.263.314;3.824.762;0.168893;5.445.134;31.669.110;58.391.667;14.816.667;30.142.857;6.475.000;15.401.586;4.984.422;9.760.390;8.475.610;5.002.339;3.473.271;12.443.040;26.516.667;7.500.000;7.935.714;36.853.937;21.400.000;3.200.000;;13.300.000;19;6;0.428700;0;1.329.420;4.834.148;4;13.000.000;19;3.000.000;2;4;4;13.000.000
25.914.958;5.776.936;3.808.727;0.424679;3.523.764;11.019.463;1.250.000;3.833.333;49.800.000;5.500.000;0.229701;0.930287;9.450.361;9.557.123;6.278.322;3.278.800;11.597.686;92.883.333;1.333.333;4.191.667;25.188.868;;4.566.667;;27.883.333;12;3;1.007.389;0;0.659216;1.437.094;7;17.000.000;8;2.000.000;0;1;4;3.000.000
